name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_NIQE,NIQE,delta_NIQE
kodim01,avg,blurr,-1,7,24.1150214956596,20.6043454116917,-14.5580466706188,0.710716423787605,0.394727755188529,-44.4605834370739,7.24220001316037,5.01258308358853,-30.7864588870817
kodim02,avg,blurr,-1,7,28.0454844398903,26.8339146527034,-4.32001732679498,0.97314920013919,0.963958991246231,-0.944378199318681,8.21093909016877,5.85316593480492,-28.7150243044293
kodim03,avg,blurr,-1,7,28.889183432536,27.6638110657859,-4.24163033064499,0.937087750387719,0.927475100919421,-1.02580035480356,8.45553309211667,7.63362899087704,-9.72031085782065
kodim04,avg,blurr,-1,7,28.7331137920164,27.9122486619285,-2.85686102811462,0.933482620729158,0.928089475909313,-0.577744534293773,7.48151560499846,6.44176426752241,-13.8976030041478
kodim05,avg,blurr,-1,7,23.4606463133317,20.020666222499,-14.6627677894697,0.785736697399334,0.578587932115645,-26.363636313452,6.21650961799475,6.16212202387731,-0.874889567612088
kodim06,avg,blurr,-1,7,25.8063318313501,23.4306105022406,-9.20596288010002,0.831655067681562,0.729543126699325,-12.2781601351746,5.90559640423936,4.53603181685533,-23.1909614819069
kodim07,avg,blurr,-1,7,27.7449428687623,25.0556504897967,-9.69291013388039,0.891343336180656,0.821452524754053,-7.84106511931539,7.24843051801213,6.35087583452293,-12.3827452199314
kodim08,avg,blurr,-1,7,23.4760166981484,18.1137034861111,-22.8416655218186,0.812059946480298,0.49978497498989,-38.4546698607532,5.34989434148309,4.76013334113235,-11.0237878116159
kodim09,avg,blurr,-1,7,28.3742323725659,24.8738169476255,-12.3365995561693,0.795812224523494,0.743999596300847,-6.51066000571556,6.80409757101481,6.76359309963849,-0.595295275436084
kodim10,avg,blurr,-1,7,28.3916988114205,26.0892683387787,-8.10951992670333,0.81776030433309,0.771641146644632,-5.63969141618709,6.71975931901749,6.51644503745664,-3.02561850668448
kodim11,avg,blurr,-1,7,25.8072416570913,23.1866067943629,-10.154649216486,0.813962894973399,0.72910135016934,-10.4257264462691,5.66547705441077,5.43418702417366,-4.08244580316589
kodim12,avg,blurr,-1,7,28.5054656434621,26.6293205603446,-6.58170298490766,0.905701109399124,0.88264814988623,-2.54531647070504,7.54732774001142,5.78129168336447,-23.3994881033784
kodim13,avg,blurr,-1,7,22.7470302551464,19.8184105455188,-12.8747343137903,0.783169820705448,0.605574793058392,-22.676439126202,6.36335475639599,5.51741009519839,-13.2940043983454
kodim14,avg,blurr,-1,7,24.6082038954317,22.4423512315995,-8.8013439462532,0.794629987144362,0.705544356093038,-11.2109576145582,5.64670770245592,5.94903272876518,5.35400524057173
kodim15,avg,blurr,-1,7,27.4476873278375,26.314777436738,-4.12752403351139,0.863484610896186,0.844397053408856,-2.21052665519072,7.36895641361231,6.03861492731049,-18.0533227723311
kodim16,avg,blurr,-1,7,27.8734542801499,26.464581223602,-5.05453340080331,0.760254328306459,0.67494711882706,-11.2208778435277,7.93392429300744,5.30714743152742,-33.1081664567322
kodim17,avg,blurr,-1,7,27.34706383264,25.4892792069606,-6.79336047573065,0.758690124982938,0.71280730669106,-6.04763615354953,6.65011836666583,6.07039865430475,-8.71743449360185
kodim18,avg,blurr,-1,7,25.3718265397244,22.6616953228449,-10.6816559408377,0.80791458355327,0.73779383698636,-8.67922772955942,6.21620668097304,6.28386677896053,1.08844672418279
kodim19,avg,blurr,-1,7,26.2730991721556,21.0116051321,-20.026164426128,0.847327499709987,0.728997969604621,-13.9650288873979,6.66004669417205,4.97676287443238,-25.2743546259615
kodim20,avg,blurr,-1,7,28.0702850638534,25.1598092951635,-10.3685294327052,0.880148221968813,0.840386755080054,-4.51758759448684,7.1969124622808,5.97296568509394,-17.0065536242326
kodim21,avg,blurr,-1,7,26.024751817878,23.0864467289339,-11.290425013489,0.83361678473805,0.727259488492922,-12.7585358395284,5.60951354063952,5.78049323875593,3.04803075841971
kodim22,avg,blurr,-1,7,26.7737952568833,24.5018932129518,-8.48554350301696,0.848172988300631,0.812777014511045,-4.17320219787998,6.82756421620274,5.55147098896147,-18.6903145372536
kodim23,avg,blurr,-1,7,28.420592677596,25.8435152394969,-9.06764143638211,0.918048487524688,0.903115589932662,-1.62659138323827,6.54716800995738,6.45317950855661,-1.43555963827143
kodim24,avg,blurr,-1,7,25.3054035409689,22.333542838878,-11.7439767252852,0.766804567961218,0.658105598002443,-14.1755767376013,7.16979774809857,5.96072448183604,-16.8634222155454
