name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_NIQE,NIQE,delta_NIQE
kodim01,gauss,blurr,5,3,24.1150214956596,23.4851750721515,-2.61184267914261,0.710716423787605,0.647645611515305,-8.87425844701577,7.24220001316037,5.6999649604954,-21.2951181942291
kodim02,gauss,blurr,5,3,28.0454844398903,28.1492910370765,0.370136580841225,0.97314920013919,0.973557390686637,0.0419453201409701,8.21093909016877,6.23252834677699,-24.0948169468289
kodim03,gauss,blurr,5,3,28.889183432536,29.0833277741221,0.672031253633167,0.937087750387719,0.940138609754881,0.325568162202553,8.45553309211667,7.51085561065555,-11.1722995010436
kodim04,gauss,blurr,5,3,28.7331137920164,29.1386736191789,1.41147189997594,0.933482620729158,0.940396689699525,0.740674632481777,7.48151560499846,6.46851591289723,-13.5400331374627
kodim05,gauss,blurr,5,3,23.4606463133317,23.2110423802426,-1.06392607328637,0.785736697399334,0.770723640737145,-1.91069816541348,6.21650961799475,5.20393592919611,-16.2884601009475
kodim06,gauss,blurr,5,3,25.8063318313501,25.5707407117875,-0.912919825654728,0.831655067681562,0.81692896243428,-1.77069867298893,5.90559640423936,5.08764200283178,-13.8504961297457
kodim07,gauss,blurr,5,3,27.7449428687623,28.0768245228127,1.19618791655216,0.891343336180656,0.901722946639629,1.16449072289567,7.24843051801213,5.91669758294956,-18.3727074675443
kodim08,gauss,blurr,5,3,23.4760166981484,21.7130771571468,-7.50953436295974,0.812059946480298,0.747821591636057,-7.9105434423491,5.34989434148309,4.39636623871128,-17.8233071890439
kodim09,gauss,blurr,5,3,28.3742323725659,28.2956103550046,-0.277089496304437,0.795812224523494,0.801848560934232,0.75851265219658,6.80409757101481,5.99911280741412,-11.830882129467
kodim10,gauss,blurr,5,3,28.3916988114205,28.3813371342247,-0.0364954463082977,0.81776030433309,0.825168627607387,0.905928453000408,6.71975931901749,5.81784856460327,-13.4217716974138
kodim11,gauss,blurr,5,3,25.8072416570913,25.6209706183858,-0.721778178313789,0.813962894973399,0.810431525179386,-0.433848989409741,5.66547705441077,4.89999387986302,-13.5113630713904
kodim12,gauss,blurr,5,3,28.5054656434621,28.5699847122906,0.226339290981705,0.905701109399124,0.908221830818118,0.278317139377957,7.54732774001142,5.70515137489643,-24.4083260800888
kodim13,gauss,blurr,5,3,22.7470302551464,22.2419915986186,-2.22023996479049,0.783169820705448,0.755797950747242,-3.49501081815825,6.36335475639599,5.14856580099788,-19.0903855262366
kodim14,gauss,blurr,5,3,24.6082038954317,24.7135933997912,0.428269794932454,0.794629987144362,0.796367427468568,0.218647716838582,5.64670770245592,5.28500871086742,-6.40548458761534
kodim15,gauss,blurr,5,3,27.4476873278375,27.7532017674191,1.11307898524357,0.863484610896186,0.870919269630432,0.861006512499393,7.36895641361231,6.06967041552727,-17.6318860522086
kodim16,gauss,blurr,5,3,27.8734542801499,27.9695961395135,0.344922657943025,0.760254328306459,0.753091562155423,-0.942153945639691,7.93392429300744,5.85855957196362,-26.1581109725604
kodim17,gauss,blurr,5,3,27.34706383264,27.5808238718043,0.854790264120755,0.758690124982938,0.776256685298756,2.31538011862394,6.65011836666583,5.69571623889221,-14.3516562435585
kodim18,gauss,blurr,5,3,25.3718265397244,25.2159080694343,-0.614533880901271,0.80791458355327,0.813943112232682,0.746183916237437,6.21620668097304,5.67097975047002,-8.77105537967214
kodim19,gauss,blurr,5,3,26.2730991721556,24.8615647834305,-5.37254619059572,0.847327499709987,0.831790189831268,-1.83368412851437,6.66004669417205,5.02379184120483,-24.5682189345465
kodim20,gauss,blurr,5,3,28.0702850638534,27.8671051659745,-0.723825559365442,0.880148221968813,0.884058072721388,0.444226399029499,7.1969124622808,5.96413695709498,-17.1292274520056
kodim21,gauss,blurr,5,3,26.024751817878,25.7527267134324,-1.0452553259652,0.83361678473805,0.824806081638035,-1.05692486779563,5.60951354063952,4.87542102671299,-13.0865628295254
kodim22,gauss,blurr,5,3,26.7737952568833,26.5761144354785,-0.738336942925728,0.848172988300631,0.851412989209673,0.381997653041742,6.82756421620274,5.50615975770687,-19.3539660214399
kodim23,gauss,blurr,5,3,28.420592677596,28.4307049272421,0.0355807134663205,0.918048487524688,0.924205808733286,0.670696732500477,6.54716800995738,6.75264302382772,3.13838003787047
kodim24,gauss,blurr,5,3,25.3054035409689,24.6670013235929,-2.52279010821713,0.766804567961218,0.764104586809642,-0.352108120424324,7.16979774809857,5.52101774737938,-22.9961856477256
