name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_NIQE,NIQE,delta_NIQE
kodim01,avg,method_2,-1,3,24.1150214956596,23.5325816237812,-2.41525752727687,0.710716423787605,0.64831031756293,-8.78073224931208,7.24220001316037,5.65467052916594,-21.9205418396289
kodim02,avg,method_2,-1,3,28.0454844398903,28.178520143393,0.47435694608096,0.97314920013919,0.973687048047336,0.0552688023654885,8.21093909016877,6.1820539885264,-24.7095378416778
kodim03,avg,method_2,-1,3,28.889183432536,29.128858116032,0.829634676437659,0.937087750387719,0.940397964966922,0.353244888521268,8.45553309211667,7.46885572586364,-11.6690143070096
kodim04,avg,method_2,-1,3,28.7331137920164,29.1740606331517,1.53462950213828,0.933482620729158,0.940589656227401,0.761346311160138,7.48151560499846,6.44746349671792,-13.8214255356185
kodim05,avg,method_2,-1,3,23.4606463133317,23.2606682362082,-0.852397987901176,0.785736697399334,0.771337553913371,-1.83256598980576,6.21650961799475,5.17358298478271,-16.7767235522826
kodim06,avg,method_2,-1,3,25.8063318313501,25.601325783012,-0.794402124555475,0.831655067681562,0.817181712212381,-1.74030749425116,5.90559640423936,5.04287131134568,-14.6086023127886
kodim07,avg,method_2,-1,3,27.7449428687623,28.1193650082822,1.34951490544041,0.891343336180656,0.902133924609899,1.2105984294985,7.24843051801213,5.86977043069272,-19.0201186849136
kodim08,avg,method_2,-1,3,23.4760166981484,21.7657949672173,-7.28497407767665,0.812059946480298,0.74851961873568,-7.82458585970411,5.34989434148309,4.340679379646,-18.8642036163524
kodim09,avg,method_2,-1,3,28.3742323725659,28.4234894008143,0.173597747426722,0.795812224523494,0.80273895432026,0.870397511286501,6.80409757101481,5.90667349969372,-13.1894650532949
kodim10,avg,method_2,-1,3,28.3916988114205,28.4120059474435,0.0715249064804446,0.81776030433309,0.825396663682866,0.93381389501458,6.71975931901749,5.76143330093381,-14.2613146183902
kodim11,avg,method_2,-1,3,25.8072416570913,25.6699343219741,-0.532049635298913,0.813962894973399,0.811029613013096,-0.3603704761503,5.66547705441077,4.85554014415345,-14.2960054815995
kodim12,avg,method_2,-1,3,28.5054656434621,28.6565101135815,0.529878978328489,0.905701109399124,0.908680369570369,0.328945182944705,7.54732774001142,5.62207268396287,-25.5090957007471
kodim13,avg,method_2,-1,3,22.7470302551464,22.2536068760251,-2.16917713471484,0.783169820705448,0.755855389874698,-3.48767663265498,6.36335475639599,5.07875249337963,-20.1875003389552
kodim14,avg,method_2,-1,3,24.6082038954317,24.7348843096175,0.514789355306632,0.794629987144362,0.79652283264323,0.238204639831142,5.64670770245592,5.22510188244086,-7.46640063964517
kodim15,avg,method_2,-1,3,27.4476873278375,27.7931898422149,1.25876730615093,0.863484610896186,0.871184137403915,0.891680802479886,7.36895641361231,5.99908320894723,-18.5897856870829
kodim16,avg,method_2,-1,3,27.8734542801499,27.992733453033,0.427931076228678,0.760254328306459,0.753292580661076,-0.915712990531853,7.93392429300744,5.83171937671598,-26.4964075614413
kodim17,avg,method_2,-1,3,27.34706383264,27.614007974529,0.976134562461912,0.758690124982938,0.77657054244192,2.35674841021351,6.65011836666583,5.64556781203208,-15.1057545030947
kodim18,avg,method_2,-1,3,25.3718265397244,25.2777655278778,-0.370730154958996,0.80791458355327,0.814430419960391,0.806500654866703,6.21620668097304,5.62796255635148,-9.46307217264983
kodim19,avg,method_2,-1,3,26.2730991721556,24.9345194050869,-5.09486817028143,0.847327499709987,0.832444750242494,-1.75643413822722,6.66004669417205,4.99133116514685,-25.0556130557677
kodim20,avg,method_2,-1,3,28.0702850638534,27.9715082953857,-0.351890863391875,0.880148221968813,0.884683490103471,0.515284587465569,7.1969124622808,5.90584331338714,-17.9392087323583
kodim21,avg,method_2,-1,3,26.024751817878,25.817909244678,-0.794791722309428,0.83361678473805,0.8254220267023,-0.98303659256643,5.60951354063952,4.7948342044765,-14.523172646984
kodim22,avg,method_2,-1,3,26.7737952568833,26.6031506021251,-0.637356987012937,0.848172988300631,0.851598773379649,0.403901695322977,6.82756421620274,5.43200761715641,-20.4400362245511
kodim23,avg,method_2,-1,3,28.420592677596,28.4802910329622,0.210053168290293,0.918048487524688,0.924418844800531,0.693902050099678,6.54716800995738,6.67555725549964,1.96098901612113
kodim24,avg,method_2,-1,3,25.3054035409689,24.6877054676782,-2.44097302100189,0.766804567961218,0.7642391451234,-0.334560192388913,7.16979774809857,5.48584961398362,-23.4866894894145
